experiment,config,strategy,throughput,p50,p90,p99,p99.9,max,errorRate,slowRequests
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,135887.78,12.00,14.00,59.00,71.00,79.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,132821.06,12.00,14.00,62.00,73.00,80.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,141825.90,12.00,14.00,58.00,69.00,74.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,18979.00,112.00,114.00,160.00,164.00,175.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,143086.49,12.00,14.00,57.00,70.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,135011.00,12.00,15.00,60.00,73.00,85.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,142384.36,12.00,14.00,59.00,70.00,75.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,19592.43,112.00,114.00,160.00,183.00,197.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,145596.45,12.00,14.00,58.00,70.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,145601.35,12.00,14.00,60.00,73.00,79.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,147936.05,12.00,14.00,58.00,70.00,73.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,20602.97,112.00,114.00,160.00,164.00,174.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,153093.05,12.00,14.00,58.00,70.00,77.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,153963.23,12.00,14.00,52.00,71.00,77.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,152371.43,12.00,14.00,58.00,70.00,74.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,21344.74,112.00,115.00,160.00,174.00,195.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,150259.35,12.00,14.00,59.00,71.00,80.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,155930.38,12.00,14.00,58.00,72.00,77.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=2| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,125535.00,12.00,14.00,61.00,71.00,77.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,126599.59,12.00,14.00,61.00,72.00,79.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=4| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,119898.35,12.00,17.00,62.00,75.00,88.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=5| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,122790.19,12.00,14.00,59.00,72.00,84.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=6| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,126337.12,12.00,14.00,59.00,74.00,82.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=7| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,126933.84,12.00,14.00,60.00,72.00,77.00,0.00,0
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=8| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,116166.25,12.00,15.00,64.00,82.00,105.00,0.00,3
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=9| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,53632.60,13.00,60.00,249.00,291.00,307.00,0.00,2349
ProbeCountSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=10| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ProbeCountSweep],Prequal,76432.63,13.00,48.00,99.00,133.00,158.00,0.00,462
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.5| experimentName=QuantileSweep],Prequal,120277.97,12.00,14.00,63.00,73.00,82.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.55| experimentName=QuantileSweep],Prequal,125781.96,12.00,14.00,58.00,71.00,77.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.6000000000000001| experimentName=QuantileSweep],Prequal,111575.94,13.00,19.00,62.00,76.00,93.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.6500000000000001| experimentName=QuantileSweep],Prequal,123823.62,12.00,14.00,61.00,73.00,84.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.7000000000000002| experimentName=QuantileSweep],Prequal,124963.85,12.00,14.00,60.00,71.00,80.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.7500000000000002| experimentName=QuantileSweep],Prequal,128500.07,12.00,14.00,57.00,71.00,77.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8000000000000003| experimentName=QuantileSweep],Prequal,128906.12,12.00,14.00,56.00,70.00,77.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8500000000000003| experimentName=QuantileSweep],Prequal,119844.75,12.00,14.00,63.00,73.00,82.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.9000000000000004| experimentName=QuantileSweep],Prequal,126055.08,12.00,14.00,58.00,72.00,76.00,0.00,0
QuantileSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.9500000000000004| experimentName=QuantileSweep],Prequal,123761.33,12.00,14.00,61.00,73.00,78.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=2| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,121518.41,12.00,14.00,62.00,74.00,86.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=4| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,129953.04,12.00,14.00,54.00,71.00,76.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=6| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,123233.33,12.00,14.00,61.00,76.00,88.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=8| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,127407.17,12.00,14.00,60.00,71.00,82.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=10| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,126640.44,12.00,14.00,60.00,71.00,82.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=12| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,127615.85,12.00,14.00,60.00,71.00,75.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=14| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,123892.61,12.00,14.00,60.00,72.00,78.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,124920.78,12.00,14.00,60.00,72.00,77.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=18| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,128523.28,12.00,14.00,59.00,71.00,77.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=20| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,127006.45,12.00,14.00,61.00,72.00,80.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=22| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,126004.65,12.00,14.00,61.00,72.00,81.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=24| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,122254.64,12.00,14.00,61.00,71.00,76.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=26| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,127886.03,12.00,14.00,57.00,71.00,82.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=28| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,124326.00,12.00,14.00,62.00,72.00,76.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=30| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,127803.60,12.00,14.00,57.99,71.00,81.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=32| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,122208.95,12.00,15.00,62.00,74.00,83.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=34| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,125938.41,12.00,14.00,62.00,73.00,80.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=36| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,126992.62,12.00,14.00,61.00,72.00,77.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=38| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,126389.91,12.00,14.00,61.00,72.00,78.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=40| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,121951.81,13.00,16.00,62.00,75.00,80.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=42| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,126479.00,12.00,14.00,55.00,71.00,82.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=44| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,99234.43,13.00,29.00,69.00,116.00,158.00,0.00,143
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=46| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,125123.96,12.00,14.00,63.00,74.00,82.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=48| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,123500.56,12.00,14.00,57.00,73.00,87.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=50| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,128004.48,12.00,14.00,55.99,73.00,78.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=52| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,125499.00,12.00,14.00,62.00,73.00,85.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=54| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,131228.82,12.00,14.00,61.00,74.00,84.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=56| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,125651.56,12.00,14.00,60.00,72.00,81.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=58| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,127143.92,12.00,14.00,60.00,73.00,80.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=60| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,129485.36,12.00,14.00,61.00,72.00,77.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=62| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,130050.06,12.00,14.00,59.00,71.00,79.00,0.00,0
PoolSizeSweep,SimulationConfig[numServers=1000| numClients=2000| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=64| prequalQuantile=0.8| experimentName=PoolSizeSweep],Prequal,124206.14,12.00,14.00,61.00,72.00,80.00,0.00,0
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],RoundRobin,844.88,86.00,104.00,140.00,151.00,172.00,0.00,20442
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],LeastConnections,832.82,112.00,114.00,160.00,163.00,169.00,0.00,26353
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],P2CLeastConnections,861.76,44.00,104.00,140.00,152.00,224.00,0.00,19905
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],Prequal,867.09,37.00,104.00,142.00,196.00,253.00,0.00,19731
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],RoundRobin,2532.97,82.00,104.00,139.00,150.00,154.00,0.00,20456
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],LeastConnections,1314.94,112.00,114.00,160.00,164.00,200.00,0.00,50000
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],P2CLeastConnections,2706.74,14.00,104.00,142.00,166.00,241.00,0.00,18586
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],Prequal,2718.06,14.00,104.00,151.00,222.00,249.00,0.00,18282
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],RoundRobin,4202.89,82.00,104.00,138.00,151.00,154.00,0.00,20371
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],LeastConnections,2195.43,112.00,114.00,160.00,164.00,182.00,0.00,50000
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],P2CLeastConnections,4758.05,14.00,104.00,145.00,194.00,243.00,0.00,17172
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],Prequal,4692.96,14.00,104.00,163.00,224.00,264.00,0.00,17030
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],RoundRobin,5877.55,83.00,104.00,138.00,150.00,158.00,0.00,20439
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],LeastConnections,3062.82,112.00,114.00,161.00,164.00,179.00,0.00,50000
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],P2CLeastConnections,6762.23,14.00,104.00,148.00,213.00,244.00,0.00,16505
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],Prequal,6793.92,14.00,104.00,175.00,232.00,253.00,0.00,16055
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],RoundRobin,7353.49,84.50,104.00,139.00,151.00,155.00,0.00,21076
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],LeastConnections,3935.39,112.00,114.00,160.00,164.00,175.00,0.00,50000
HeterogeneitySweep,SimulationConfig[numServers=1000| numClients=450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=HeterogeneitySweep],P2CLeastConnections,8936.60,14.00,104.00,150.00,222.00,250.00,0.00,15660
