experiment,config,strategy,throughput,p50,p90,p99,p99.9,max,errorRate,slowRequests
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,30861.01,12.00,14.00,58.00,67.00,75.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,37567.34,12.00,14.00,54.00,62.00,68.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,4776.23,112.00,114.00,161.00,169.00,204.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,38219.47,12.00,14.00,57.00,66.00,74.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,37195.01,12.00,14.00,59.00,69.00,74.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,44063.24,12.00,14.00,56.00,62.00,67.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,5647.06,112.00,114.00,161.00,164.00,213.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,45147.77,12.00,14.00,57.00,66.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,43527.72,12.00,14.00,59.00,69.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,41093.35,13.00,23.00,74.00,111.00,135.00,0.00,114
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,6528.23,112.00,114.00,160.00,164.00,177.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,51584.12,12.00,14.00,59.00,68.00,75.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,50171.92,12.00,14.00,59.00,69.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,51709.45,12.00,21.00,61.00,107.00,128.00,0.00,73
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,7334.23,112.00,114.00,161.00,176.00,210.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,55290.48,12.00,14.00,59.00,75.00,105.00,0.00,3
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,48659.64,12.00,14.00,63.00,105.00,131.00,0.00,156
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,61338.26,12.00,14.00,60.00,79.00,100.00,0.00,0
